,match_id,date,variable,value,venue,team_id,team_name
0,3399144,2020-09-19,xG_for,3.95,H,9823,Bayern München
1,3399144,2020-09-19,xG_ag,0.2,H,9823,Bayern München
2,3399144,2020-09-19,xG_for,0.2,A,10189,Schalke 04
3,3399144,2020-09-19,xG_ag,3.95,A,10189,Schalke 04
4,3399145,2020-09-19,xG_for,1.84,H,9789,Borussia Dortmund
5,3399145,2020-09-19,xG_ag,0.65,H,9789,Borussia Dortmund
6,3399145,2020-09-19,xG_for,0.65,A,9788,Borussia M'Gladbach
7,3399145,2020-09-19,xG_ag,1.84,A,9788,Borussia M'Gladbach
8,3399146,2020-09-20,xG_for,2.85,H,178475,RB Leipzig
9,3399146,2020-09-20,xG_ag,1.25,H,178475,RB Leipzig
10,3399146,2020-09-20,xG_for,1.25,A,9905,Mainz 05
11,3399146,2020-09-20,xG_ag,2.85,A,9905,Mainz 05
12,3399147,2020-09-20,xG_for,0.91,H,8721,Wolfsburg
13,3399147,2020-09-20,xG_ag,0.5,H,8721,Wolfsburg
14,3399147,2020-09-20,xG_for,0.5,A,8178,Bayer Leverkusen
15,3399147,2020-09-20,xG_ag,0.91,A,8178,Bayer Leverkusen
16,3399148,2020-09-19,xG_for,2.31,H,9810,Eintracht Frankfurt
17,3399148,2020-09-19,xG_ag,0.81,H,9810,Eintracht Frankfurt
18,3399148,2020-09-19,xG_for,0.81,A,9912,Arminia Bielefeld
19,3399148,2020-09-19,xG_ag,2.31,A,9912,Arminia Bielefeld
20,3399149,2020-09-19,xG_for,1.16,H,8149,Union Berlin
21,3399149,2020-09-19,xG_ag,1.46,H,8149,Union Berlin
22,3399149,2020-09-19,xG_for,1.46,A,8406,Augsburg
23,3399149,2020-09-19,xG_ag,1.16,A,8406,Augsburg
24,3399150,2020-09-19,xG_for,2.72,H,8722,1. FC Köln
25,3399150,2020-09-19,xG_ag,2.59,H,8722,1. FC Köln
26,3399150,2020-09-19,xG_for,2.59,A,8226,TSG Hoffenheim
27,3399150,2020-09-19,xG_ag,2.72,A,8226,TSG Hoffenheim
28,3399151,2020-09-19,xG_for,0.74,H,8697,Werder Bremen
29,3399151,2020-09-19,xG_ag,1.85,H,8697,Werder Bremen
30,3399151,2020-09-19,xG_for,1.85,A,8177,Hertha BSC
31,3399151,2020-09-19,xG_ag,0.74,A,8177,Hertha BSC
32,3399152,2020-09-19,xG_for,2.63,H,10269,VfB Stuttgart
33,3399152,2020-09-19,xG_ag,1.86,H,10269,VfB Stuttgart
34,3399152,2020-09-19,xG_for,1.86,A,8358,Freiburg
35,3399152,2020-09-19,xG_ag,2.63,A,8358,Freiburg
36,3399165,2020-09-26,xG_for,1.84,H,9788,Borussia M'Gladbach
37,3399165,2020-09-26,xG_ag,0.81,H,9788,Borussia M'Gladbach
38,3399165,2020-09-26,xG_for,0.81,A,8149,Union Berlin
39,3399165,2020-09-26,xG_ag,1.84,A,8149,Union Berlin
40,3399166,2020-09-26,xG_for,0.93,H,8178,Bayer Leverkusen
41,3399166,2020-09-26,xG_ag,0.94,H,8178,Bayer Leverkusen
42,3399166,2020-09-26,xG_for,0.94,A,178475,RB Leipzig
43,3399166,2020-09-26,xG_ag,0.93,A,178475,RB Leipzig
44,3399167,2020-09-27,xG_for,2.58,H,8226,TSG Hoffenheim
45,3399167,2020-09-27,xG_ag,1.36,H,8226,TSG Hoffenheim
46,3399167,2020-09-27,xG_for,1.36,A,9823,Bayern München
47,3399167,2020-09-27,xG_ag,2.58,A,9823,Bayern München
48,3399168,2020-09-27,xG_for,1.38,H,8358,Freiburg
49,3399168,2020-09-27,xG_ag,0.47,H,8358,Freiburg
50,3399168,2020-09-27,xG_for,0.47,A,8721,Wolfsburg
51,3399168,2020-09-27,xG_ag,1.38,A,8721,Wolfsburg
52,3399169,2020-09-26,xG_for,1.17,H,8177,Hertha BSC
53,3399169,2020-09-26,xG_ag,1.51,H,8177,Hertha BSC
54,3399169,2020-09-26,xG_for,1.51,A,9810,Eintracht Frankfurt
55,3399169,2020-09-26,xG_ag,1.17,A,9810,Eintracht Frankfurt
56,3399170,2020-09-26,xG_for,1.96,H,10189,Schalke 04
57,3399170,2020-09-26,xG_ag,2.46,H,10189,Schalke 04
58,3399170,2020-09-26,xG_for,2.46,A,8697,Werder Bremen
59,3399170,2020-09-26,xG_ag,1.96,A,8697,Werder Bremen
60,3399171,2020-09-26,xG_for,1.33,H,9905,Mainz 05
61,3399171,2020-09-26,xG_ag,2.6,H,9905,Mainz 05
62,3399171,2020-09-26,xG_for,2.6,A,10269,VfB Stuttgart
63,3399171,2020-09-26,xG_ag,1.33,A,10269,VfB Stuttgart
64,3399172,2020-09-26,xG_for,1.24,H,8406,Augsburg
65,3399172,2020-09-26,xG_ag,1.81,H,8406,Augsburg
66,3399172,2020-09-26,xG_for,1.81,A,9789,Borussia Dortmund
67,3399172,2020-09-26,xG_ag,1.24,A,9789,Borussia Dortmund
68,3399173,2020-09-26,xG_for,0.2,H,9912,Arminia Bielefeld
69,3399173,2020-09-26,xG_ag,1.42,H,9912,Arminia Bielefeld
70,3399173,2020-09-26,xG_for,1.42,A,8722,1. FC Köln
71,3399173,2020-09-26,xG_ag,0.2,A,8722,1. FC Köln
72,3399174,2020-10-04,xG_for,3.63,H,9823,Bayern München
73,3399174,2020-10-04,xG_ag,1.06,H,9823,Bayern München
74,3399174,2020-10-04,xG_for,1.06,A,8177,Hertha BSC
75,3399174,2020-10-04,xG_ag,3.63,A,8177,Hertha BSC
76,3399175,2020-10-03,xG_for,2.47,H,9789,Borussia Dortmund
77,3399175,2020-10-03,xG_ag,0.49,H,9789,Borussia Dortmund
78,3399175,2020-10-03,xG_for,0.49,A,8358,Freiburg
79,3399175,2020-10-03,xG_ag,2.47,A,8358,Freiburg
80,3399176,2020-10-03,xG_for,4.16,H,178475,RB Leipzig
81,3399176,2020-10-03,xG_ag,0.17,H,178475,RB Leipzig
82,3399176,2020-10-03,xG_for,0.17,A,10189,Schalke 04
83,3399176,2020-10-03,xG_ag,4.16,A,10189,Schalke 04
