,vol_num,caption,release_date,cover_url
0,Amazing Spider-Man Vol 1 407,Blasts From The Past!,"January, 1996",https://static.wikia.nocookie.net/marveldatabase/images/3/3d/Amazing_Spider-Man_Vol_1_407.jpg
1,Amazing Spider-Man Vol 1 408,"Impossible, Be My Dream!","February, 1996",https://static.wikia.nocookie.net/marveldatabase/images/c/ce/Amazing_Spider-Man_Vol_1_408.jpg
2,Amazing Spider-Man Vol 1 409,Of Wages and Wars,"March, 1996",https://static.wikia.nocookie.net/marveldatabase/images/4/48/Amazing_Spider-Man_Vol_1_409.jpg
3,Amazing Spider-Man Vol 1 410,And Now -- Spider-Carnage,"April, 1996",https://static.wikia.nocookie.net/marveldatabase/images/1/17/Amazing_Spider-Man_Vol_1_410.jpg
4,Amazing Spider-Man Vol 1 411,Targets!,"May, 1996",https://static.wikia.nocookie.net/marveldatabase/images/3/3f/Amazing_Spider-Man_Vol_1_411.jpg
5,Amazing Spider-Man Vol 1 412,The Face of My Enemy!,"June, 1996",https://static.wikia.nocookie.net/marveldatabase/images/8/8f/Amazing_Spider-Man_Vol_1_412.jpg
6,Amazing Spider-Man Vol 1 413,Bug Story,"July, 1996",https://static.wikia.nocookie.net/marveldatabase/images/0/0c/Amazing_Spider-Man_Vol_1_413.jpg
7,Amazing Spider-Man Vol 1 414,Deadly is Delilah!,"August, 1996",https://static.wikia.nocookie.net/marveldatabase/images/0/0b/Amazing_Spider-Man_Vol_1_414.jpg
8,Amazing Spider-Man Vol 1 415,Siege,"September, 1996",https://static.wikia.nocookie.net/marveldatabase/images/d/db/Amazing_Spider-Man_Vol_1_415.jpg
9,Amazing Spider-Man Vol 1 416,The Road Block,"October, 1996",https://static.wikia.nocookie.net/marveldatabase/images/f/ff/Amazing_Spider-Man_Vol_1_416.jpg
10,Amazing Spider-Man Vol 1 417,Secrets!,"November, 1996",https://static.wikia.nocookie.net/marveldatabase/images/0/04/Amazing_Spider-Man_Vol_1_417.jpg
