,title,url,cover_url
0,Volume 1,https://www.detectiveconanworld.com/wiki/Volume_1,https://www.detectiveconanworld.com/wiki/images/thumb/b/b1/Volume_1.jpg/275px-Volume_1.jpg
1,Volume 2,https://www.detectiveconanworld.com/wiki/Volume_2,https://www.detectiveconanworld.com/wiki/images/thumb/5/53/Volume_2.jpg/275px-Volume_2.jpg
2,Volume 3,https://www.detectiveconanworld.com/wiki/Volume_3,https://www.detectiveconanworld.com/wiki/images/thumb/d/d4/Volume_3.jpg/275px-Volume_3.jpg
3,Volume 4,https://www.detectiveconanworld.com/wiki/Volume_4,https://www.detectiveconanworld.com/wiki/images/thumb/e/e0/Volume_4.jpg/275px-Volume_4.jpg
4,Volume 5,https://www.detectiveconanworld.com/wiki/Volume_5,https://www.detectiveconanworld.com/wiki/images/thumb/1/15/Volume_5.jpg/275px-Volume_5.jpg
5,Volume 6,https://www.detectiveconanworld.com/wiki/Volume_6,https://www.detectiveconanworld.com/wiki/images/thumb/5/54/Volume_6.jpg/275px-Volume_6.jpg
6,Volume 7,https://www.detectiveconanworld.com/wiki/Volume_7,https://www.detectiveconanworld.com/wiki/images/thumb/f/f8/Volume_7.jpg/275px-Volume_7.jpg
7,Volume 8,https://www.detectiveconanworld.com/wiki/Volume_8,https://www.detectiveconanworld.com/wiki/images/thumb/c/c1/Volume_8.jpg/275px-Volume_8.jpg
8,Volume 9,https://www.detectiveconanworld.com/wiki/Volume_9,https://www.detectiveconanworld.com/wiki/images/thumb/5/55/Volume_9.jpg/275px-Volume_9.jpg
9,Volume 10,https://www.detectiveconanworld.com/wiki/Volume_10,https://www.detectiveconanworld.com/wiki/images/thumb/8/8b/Volume_10.jpg/275px-Volume_10.jpg
10,Volume 11,https://www.detectiveconanworld.com/wiki/Volume_11,https://www.detectiveconanworld.com/wiki/images/thumb/3/34/Volume_11.jpg/275px-Volume_11.jpg
11,Volume 12,https://www.detectiveconanworld.com/wiki/Volume_12,https://www.detectiveconanworld.com/wiki/images/thumb/a/a9/Volume_12.jpg/275px-Volume_12.jpg
12,Volume 13,https://www.detectiveconanworld.com/wiki/Volume_13,https://www.detectiveconanworld.com/wiki/images/thumb/9/94/Volume_13.jpg/275px-Volume_13.jpg
13,Volume 14,https://www.detectiveconanworld.com/wiki/Volume_14,https://www.detectiveconanworld.com/wiki/images/thumb/a/a3/Volume_14.jpg/275px-Volume_14.jpg
14,Volume 15,https://www.detectiveconanworld.com/wiki/Volume_15,https://www.detectiveconanworld.com/wiki/images/thumb/7/7c/Volume_15.jpg/275px-Volume_15.jpg
15,Volume 16,https://www.detectiveconanworld.com/wiki/Volume_16,https://www.detectiveconanworld.com/wiki/images/thumb/4/4a/Volume_16.jpg/275px-Volume_16.jpg
16,Volume 17,https://www.detectiveconanworld.com/wiki/Volume_17,https://www.detectiveconanworld.com/wiki/images/thumb/0/0a/Volume_17.jpg/275px-Volume_17.jpg
17,Volume 18,https://www.detectiveconanworld.com/wiki/Volume_18,https://www.detectiveconanworld.com/wiki/images/thumb/f/f5/Volume_18.jpg/275px-Volume_18.jpg
