,vol_num,caption,release_date,cover_url
0,Avengers Vol 8 1,"""The Final Host""","May 2, 2018",https://static.wikia.nocookie.net/marveldatabase/images/5/57/Avengers_Vol_8_1.jpg
1,Avengers Vol 8 2,"""Still Avenging After All These Years""","May 16, 2018",https://static.wikia.nocookie.net/marveldatabase/images/0/03/Avengers_Vol_8_2.jpg
2,Avengers Vol 8 3,"""Where Space Gods Go To Die""","June 20, 2018",https://static.wikia.nocookie.net/marveldatabase/images/e/e5/Avengers_Vol_8_3.jpg
3,Avengers Vol 8 4,"""A Battle That Was Lost A Million Years Ago""","July 4, 2018",https://static.wikia.nocookie.net/marveldatabase/images/6/6f/Avengers_Vol_8_4.jpg
4,Avengers Vol 8 5,"""The Secret Origin of the Marvel Universe""","July 18, 2018",https://static.wikia.nocookie.net/marveldatabase/images/4/41/Avengers_Vol_8_5.jpg
5,Avengers Vol 8 6,"""Planet of Pathogens""","August 22, 2018",https://static.wikia.nocookie.net/marveldatabase/images/5/50/Avengers_Vol_8_6.jpg
6,Avengers Vol 8 7,"""Fire and Bone""","September 5, 2018",https://static.wikia.nocookie.net/marveldatabase/images/f/fa/Avengers_Vol_8_7.jpg
7,Avengers Vol 8 8,"""Inside Avengers Mountain""","September 19, 2018",https://static.wikia.nocookie.net/marveldatabase/images/6/6f/Avengers_Vol_8_8.jpg
8,Avengers Vol 8 9,"""The Defenders of the Deep""","October 10, 2018",https://static.wikia.nocookie.net/marveldatabase/images/8/80/Avengers_Vol_8_9.jpg
9,Avengers Vol 8 10,"""The Battle for the Right to be Called... Earth's Mightiest""","November 14, 2018",https://static.wikia.nocookie.net/marveldatabase/images/4/44/Avengers_Vol_8_10.jpg
10,Avengers Vol 8 11,"""The Strength and Conviction of Phillip Coulson""","December 12, 2018",https://static.wikia.nocookie.net/marveldatabase/images/7/7c/Avengers_Vol_8_11.jpg
11,Avengers Vol 8 12,"""The Agents of Wakanda""","January 9, 2019",https://static.wikia.nocookie.net/marveldatabase/images/6/6d/Avengers_Vol_8_12.jpg
12,Avengers Vol 8 13,"""The Girl Who Punched The Dragon""","January 23, 2019",https://static.wikia.nocookie.net/marveldatabase/images/c/c8/Avengers_Vol_8_13.jpg
13,Avengers Vol 8 14,"""The Fall of Castle Dracula""","February 6, 2019",https://static.wikia.nocookie.net/marveldatabase/images/7/79/Avengers_Vol_8_14.jpg
14,Avengers Vol 8 15,"""The Battle for the Throne of the Damned""","February 20, 2019",https://static.wikia.nocookie.net/marveldatabase/images/e/e4/Avengers_Vol_8_15.jpg
15,Avengers Vol 8 16,"""A Fistful of Blood""","March 6, 2019",https://static.wikia.nocookie.net/marveldatabase/images/8/8f/Avengers_Vol_8_16.jpg
16,Avengers Vol 8 17,"""The Kingdom of the Vampires""","March 20, 2019",https://static.wikia.nocookie.net/marveldatabase/images/6/6c/Avengers_Vol_8_17.jpg
17,Avengers Vol 8 18,"""Crisis on Ten Realms""","April 24, 2019",https://static.wikia.nocookie.net/marveldatabase/images/c/c5/Avengers_Vol_8_18.jpg
18,Avengers Vol 8 19,"""The Man in the Mountain""","May 22, 2019",https://static.wikia.nocookie.net/marveldatabase/images/8/80/Avengers_Vol_8_19.jpg
19,Avengers Vol 8 20,"""No Fun""","June 26, 2019",https://static.wikia.nocookie.net/marveldatabase/images/3/3f/Avengers_Vol_8_20.jpg
20,Avengers Vol 8 21,"""The Day After a Day Unlike Any Other""","July 10, 2019",https://static.wikia.nocookie.net/marveldatabase/images/6/6e/Avengers_Vol_8_21.jpg
21,Avengers Vol 8 22,"""Challenge of the Ghost Riders - Part One: The Exorcism at Avengers Mountain""","July 31, 2019",https://static.wikia.nocookie.net/marveldatabase/images/a/aa/Avengers_Vol_8_22.jpg
22,Avengers Vol 8 23,"""Challenge of the Ghost Riders - Part Two: Hell Race 666""","August 28, 2019",https://static.wikia.nocookie.net/marveldatabase/images/4/4c/Avengers_Vol_8_23.jpg
23,Avengers Vol 8 24,"""Challenge of the Ghost Riders - Part Three: Cosmic Ghost Rider vs. the Avengers""","September 25, 2019",https://static.wikia.nocookie.net/marveldatabase/images/9/94/Avengers_Vol_8_24.jpg
24,Avengers Vol 8 25,"""Challenge of the Ghost Riders - Part Four: Spirit of Avengeance""","October 23, 2019",https://static.wikia.nocookie.net/marveldatabase/images/0/08/Avengers_Vol_8_25.jpg
25,Avengers Vol 8 26,"""As Strong as the Stars""","November 20, 2019",https://static.wikia.nocookie.net/marveldatabase/images/a/a6/Avengers_Vol_8_26.jpg
26,Avengers Vol 8 27,"""Starbrand Reborn - Part One: Riot in the Prison Galaxy""","November 27, 2019",https://static.wikia.nocookie.net/marveldatabase/images/f/f3/Avengers_Vol_8_27.jpg
27,Avengers Vol 8 28,"""Starbrand Reborn - Part Two: The Three Heralds""","December 18, 2019",https://static.wikia.nocookie.net/marveldatabase/images/9/93/Avengers_Vol_8_28.jpg
28,Avengers Vol 8 29,"""Starbrand Reborn - Part Three: The Battle for the Brand""","January 15, 2020",https://static.wikia.nocookie.net/marveldatabase/images/8/89/Avengers_Vol_8_29.jpg
29,Avengers Vol 8 30,"""Starbrand Reborn - Part Four: Nativity in the Stars""","January 29, 2020",https://static.wikia.nocookie.net/marveldatabase/images/3/3c/Avengers_Vol_8_30.jpg
30,Avengers Vol 8 31,"""The Temptation of Anthony Stark""","February 26, 2020",https://static.wikia.nocookie.net/marveldatabase/images/1/1b/Avengers_Vol_8_31.jpg
31,Avengers Vol 8 32,"""Earth’s Mightiest Villains""","March 11, 2020",https://static.wikia.nocookie.net/marveldatabase/images/c/cf/Avengers_Vol_8_32.jpg
32,Avengers Vol 8 33,"""The Age of Khonshu - Part One: Moon Knight vs. the Avengers""","May 27, 2020",https://static.wikia.nocookie.net/marveldatabase/images/2/2a/Avengers_Vol_8_33.jpg
33,Avengers Vol 8 34,"""The Age of Khonshu - Part Two: The Fist of Vengeance""","July 15, 2020",https://static.wikia.nocookie.net/marveldatabase/images/5/5c/Avengers_Vol_8_34.jpg
34,Avengers Vol 8 35,"""The Age of Khonshu - Part Three: You Don't Beat the Devil by Being an Angel""","August 19, 2020",https://static.wikia.nocookie.net/marveldatabase/images/8/8e/Avengers_Vol_8_35.jpg
35,Avengers Vol 8 36,"""The Age of Khonshu - Part Four: Moons of Fire, Stars of Blood, Panthers of Black""","September 30, 2020",https://static.wikia.nocookie.net/marveldatabase/images/d/d4/Avengers_Vol_8_36.jpg
36,Avengers Vol 8 37,"""The Age of Khonshu - Conclusion: Phoenix: Moonsong""","October 14, 2020",https://static.wikia.nocookie.net/marveldatabase/images/9/94/Avengers_Vol_8_37.jpg
37,Avengers Vol 8 38,"""The Fly That Laid a Billion Maggots""","November 4, 2020",https://static.wikia.nocookie.net/marveldatabase/images/5/53/Avengers_Vol_8_38.jpg
38,Avengers Vol 8 39,"""The Burnt Place""","December 9, 2020",https://static.wikia.nocookie.net/marveldatabase/images/6/65/Avengers_Vol_8_39.jpg
39,Avengers Vol 8 40,"""Enter the Phoenix - Part One: Sleep Now in the Fire""","December 30, 2020",https://static.wikia.nocookie.net/marveldatabase/images/5/54/Avengers_Vol_8_40.jpg
40,Avengers Vol 8 41,"""Enter the Phoenix - Part Two: Black Flame in the Hour of Chaos""","January 20, 2021",https://static.wikia.nocookie.net/marveldatabase/images/1/11/Avengers_Vol_8_41.jpg
41,Avengers Vol 8 42,"""Enter the Phoenix - Part Three: Be Like Fire""","February 3, 2021",https://static.wikia.nocookie.net/marveldatabase/images/c/c0/Avengers_Vol_8_42.jpg
42,Avengers Vol 8 43,"""Enter the Phoenix - Part Four: In the Beginning... There Was Not Darkness""","March 3, 2021",https://static.wikia.nocookie.net/marveldatabase/images/5/50/Avengers_Vol_8_43.jpg
