,match_id,date,variable,value,venue,team_id,team_name
0,3629092,2021-08-15,xG_for,1.7,H,9866,Deportivo Alaves
1,3629092,2021-08-15,xG_ag,2.28,H,9866,Deportivo Alaves
2,3629092,2021-08-15,xG_for,2.28,A,8633,Real Madrid
3,3629092,2021-08-15,xG_ag,1.7,A,8633,Real Madrid
4,3629093,2021-08-16,xG_for,3.14,H,8634,Barcelona
5,3629093,2021-08-16,xG_ag,1.08,H,8634,Barcelona
6,3629093,2021-08-16,xG_for,1.08,A,8560,Real Sociedad
7,3629093,2021-08-16,xG_ag,3.14,A,8560,Real Sociedad
8,3629094,2021-08-15,xG_for,2.45,H,9910,Celta Vigo
9,3629094,2021-08-15,xG_ag,1.95,H,9910,Celta Vigo
10,3629094,2021-08-15,xG_for,1.95,A,9906,Atletico Madrid
11,3629094,2021-08-15,xG_ag,2.45,A,9906,Atletico Madrid
12,3629095,2021-08-15,xG_for,0.59,H,8661,Mallorca
13,3629095,2021-08-15,xG_ag,0.79,H,8661,Mallorca
14,3629095,2021-08-15,xG_for,0.79,A,8603,Real Betis
15,3629095,2021-08-15,xG_ag,0.59,A,8603,Real Betis
16,3629096,2021-08-15,xG_for,0.59,H,8385,Cadiz
17,3629096,2021-08-15,xG_ag,1.14,H,8385,Cadiz
18,3629096,2021-08-15,xG_for,1.14,A,8581,Levante
19,3629096,2021-08-15,xG_ag,0.59,A,8581,Levante
20,3629097,2021-08-15,xG_for,0.94,H,8371,Osasuna
21,3629097,2021-08-15,xG_ag,0.81,H,8371,Osasuna
22,3629097,2021-08-15,xG_for,0.81,A,8558,Espanyol
23,3629097,2021-08-15,xG_ag,0.94,A,8558,Espanyol
24,3629098,2021-08-16,xG_for,3.87,H,8302,Sevilla
25,3629098,2021-08-16,xG_ag,0.56,H,8302,Sevilla
26,3629098,2021-08-16,xG_for,0.56,A,8370,Rayo Vallecano
27,3629098,2021-08-16,xG_ag,3.87,A,8370,Rayo Vallecano
28,3629099,2021-08-14,xG_for,1.23,H,10267,Valencia
29,3629099,2021-08-14,xG_ag,1.44,H,10267,Valencia
30,3629099,2021-08-14,xG_for,1.44,A,8305,Getafe
31,3629099,2021-08-14,xG_ag,1.23,A,8305,Getafe
32,3629100,2021-08-17,xG_for,1.28,H,10205,Villarreal
33,3629100,2021-08-17,xG_ag,0.43,H,10205,Villarreal
34,3629100,2021-08-17,xG_for,0.43,A,7878,Granada
35,3629100,2021-08-17,xG_ag,1.28,A,7878,Granada
36,3629101,2021-08-17,xG_for,1.01,H,10268,Elche
37,3629101,2021-08-17,xG_ag,0.67,H,10268,Elche
