,match_id,date,variable,value,venue,team_id,team_name,league_name
0,3362194,2021-04-11,xG_for,2.82,H,8521,Brest,Ligue 1
1,3362194,2021-04-11,xG_ag,0.93,H,8521,Brest,Ligue 1
2,3362194,2021-04-11,xG_for,0.93,A,6394,Nimes,Ligue 1
3,3362194,2021-04-11,xG_ag,2.82,A,6394,Nimes,Ligue 1
4,3362195,2021-04-11,xG_for,3.37,H,8588,Lens,Ligue 1
5,3362195,2021-04-11,xG_ag,1.98,H,8588,Lens,Ligue 1
6,3362195,2021-04-11,xG_for,1.98,A,8689,Lorient,Ligue 1
7,3362195,2021-04-11,xG_ag,3.37,A,8689,Lorient,Ligue 1
8,3362196,2021-04-12,xG_for,2.71,H,9748,Lyon,Ligue 1
9,3362196,2021-04-12,xG_ag,1.24,H,9748,Lyon,Ligue 1
10,3362196,2021-04-12,xG_for,1.24,A,8121,Angers,Ligue 1
11,3362196,2021-04-12,xG_ag,2.71,A,8121,Angers,Ligue 1
12,3362197,2021-04-10,xG_for,2.16,H,8550,Metz,Ligue 1
13,3362197,2021-04-10,xG_ag,0.62,H,8550,Metz,Ligue 1
14,3362197,2021-04-10,xG_for,0.62,A,8639,Lille,Ligue 1
15,3362197,2021-04-10,xG_ag,2.16,A,8639,Lille,Ligue 1
16,3362198,2021-04-11,xG_for,3.78,H,9829,Monaco,Ligue 1
17,3362198,2021-04-11,xG_ag,0.61,H,9829,Monaco,Ligue 1
18,3362198,2021-04-11,xG_for,0.61,A,9836,Dijon,Ligue 1
19,3362198,2021-04-11,xG_ag,3.78,A,9836,Dijon,Ligue 1
20,3362199,2021-04-11,xG_for,2.31,H,10249,Montpellier,Ligue 1
21,3362199,2021-04-11,xG_ag,1.56,H,10249,Montpellier,Ligue 1
22,3362199,2021-04-11,xG_for,1.56,A,8592,Marseille,Ligue 1
23,3362199,2021-04-11,xG_ag,2.31,A,8592,Marseille,Ligue 1
24,3362200,2021-04-11,xG_for,0.59,H,9831,Nice,Ligue 1
25,3362200,2021-04-11,xG_ag,0.53,H,9831,Nice,Ligue 1
26,3362200,2021-04-11,xG_for,0.53,A,9837,Reims,Ligue 1
27,3362200,2021-04-11,xG_ag,0.59,A,9837,Reims,Ligue 1
28,3362201,2021-04-11,xG_for,0.6,H,9851,Rennes,Ligue 1
29,3362201,2021-04-11,xG_ag,0.26,H,9851,Rennes,Ligue 1
30,3362201,2021-04-11,xG_for,0.26,A,9830,Nantes,Ligue 1
31,3362201,2021-04-11,xG_ag,0.6,A,9830,Nantes,Ligue 1
32,3362202,2021-04-11,xG_for,3.48,H,9853,Saint-Etienne,Ligue 1
33,3362202,2021-04-11,xG_ag,1.96,H,9853,Saint-Etienne,Ligue 1
34,3362202,2021-04-11,xG_for,1.96,A,9827,Bordeaux,Ligue 1
35,3362202,2021-04-11,xG_ag,3.48,A,9827,Bordeaux,Ligue 1
36,3362203,2021-04-10,xG_for,0.94,H,9848,Strasbourg,Ligue 1
37,3362203,2021-04-10,xG_ag,1.9,H,9848,Strasbourg,Ligue 1
38,3362203,2021-04-10,xG_for,1.9,A,9847,Paris Saint-Germain,Ligue 1
