,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),,-additional
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
Thibaut Courtois,be BEL,GK,28,38,3420,90,100.0,38.0,38,90,38,0,,0,2.21,67,28,+39,+1.03,,61.5,36.5,+25.1,+0.66,,Matches,1840e36d
Karim Benzema,fr FRA,FW,32,34,2894,85,84.6,32.2,33,87,24,1,26,0,2.32,63,24,+39,+1.21,+1.21,54.1,27.6,+26.5,+0.82,+1.07,Matches,70d74ece
Casemiro,br BRA,MF,28,34,2901,85,84.8,32.2,32,89,29,2,34,0,2.32,59,20,+39,+1.21,+1.21,54.8,26.4,+28.4,+0.88,+1.46,Matches,4d224fe8
Luka Modrić,hr CRO,MF,34,35,2733,78,79.9,30.4,32,82,18,3,32,1,2.14,50,23,+27,+0.89,-0.68,46.6,30.2,+16.4,+0.54,-0.59,Matches,6025fab1
Raphaël Varane,fr FRA,DF,27,31,2715,88,79.4,30.2,31,88,29,0,,2,2.16,50,23,+27,+0.90,-0.64,49.9,28.0,+22.0,+0.73,+0.33,Matches,9f8e9423
Ferland Mendy,fr FRA,DF,25,26,2208,85,64.6,24.5,24,89,23,2,31,4,2.38,47,16,+31,+1.26,+0.67,41.9,20.6,+21.3,+0.87,+0.59,Matches,3cefcaef
Toni Kroos,de GER,MF,30,28,2117,76,61.9,23.5,24,84,17,4,24,3,2.07,41,21,+20,+0.85,-0.46,35.6,23.4,+12.2,+0.52,-0.37,Matches,6ce1f46f
Nacho,es ESP,DF,30,24,2000,83,58.5,22.2,22,88,21,2,34,9,2.33,40,14,+26,+1.17,+0.35,36.7,21.0,+15.6,+0.70,+0.11,Matches,2946f9a1
Vinicius Júnior,br BRA,FW,20,35,1969,56,57.6,21.9,22,75,7,13,24,2,2.20,35,17,+18,+0.82,-0.48,35.5,21.9,+13.6,+0.62,-0.09,Matches,7111d552
Marco Asensio,es ESP,FWMF,24,35,1869,53,54.6,20.8,21,71,1,14,28,1,2.20,37,17,+20,+0.96,-0.14,30.8,22.0,+8.8,+0.43,-0.52,Matches,45af8a54
Lucas Vázquez,es ESP,DFFW,29,24,1848,77,54.0,20.5,21,82,15,3,44,2,2.21,37,16,+21,+1.02,-0.01,32.6,20.1,+12.5,+0.61,-0.11,Matches,fd51b456
