,match_id,date,variable,value,venue,team_id,team_name
0,3903543,2022-08-06,xG_for,0.85,H,9810,Eintracht Frankfurt
1,3903543,2022-08-06,xG_ag,4.14,H,9810,Eintracht Frankfurt
2,3903543,2022-08-06,xG_for,4.14,A,9823,Bayern München
3,3903543,2022-08-06,xG_ag,0.85,A,9823,Bayern München
4,3903547,2022-08-06,xG_for,1.99,H,9788,Borussia M'Gladbach
5,3903547,2022-08-06,xG_ag,0.13,H,9788,Borussia M'Gladbach
6,3903547,2022-08-06,xG_for,0.13,A,8226,TSG Hoffenheim
7,3903547,2022-08-06,xG_ag,1.99,A,8226,TSG Hoffenheim
8,3903550,2022-08-06,xG_for,0.65,H,8406,FC Augsburg
9,3903550,2022-08-06,xG_ag,1.27,H,8406,FC Augsburg
10,3903550,2022-08-06,xG_for,1.27,A,8358,SC Freiburg
11,3903550,2022-08-06,xG_ag,0.65,A,8358,SC Freiburg
12,3903545,2022-08-06,xG_for,1.05,H,8149,Union Berlin
13,3903545,2022-08-06,xG_ag,0.34,H,8149,Union Berlin
14,3903545,2022-08-06,xG_for,0.34,A,8177,Hertha BSC
15,3903545,2022-08-06,xG_ag,1.05,A,8177,Hertha BSC
16,3903549,2022-08-06,xG_for,0.87,H,9911,VfL Bochum
17,3903549,2022-08-06,xG_ag,1.45,H,9911,VfL Bochum
18,3903549,2022-08-06,xG_for,1.45,A,9905,Mainz 05
19,3903549,2022-08-06,xG_ag,0.87,A,9905,Mainz 05
20,3903548,2022-08-06,xG_for,0.97,H,8721,Wolfsburg
21,3903548,2022-08-06,xG_ag,0.8,H,8721,Wolfsburg
22,3903548,2022-08-06,xG_for,0.8,A,8697,Werder Bremen
23,3903548,2022-08-06,xG_ag,0.97,A,8697,Werder Bremen
24,3903544,2022-08-06,xG_for,1.62,H,9789,Borussia Dortmund
25,3903544,2022-08-06,xG_ag,1.31,H,9789,Borussia Dortmund
26,3903544,2022-08-06,xG_for,1.31,A,8178,Bayer Leverkusen
27,3903544,2022-08-06,xG_ag,1.62,A,8178,Bayer Leverkusen
28,3903551,2022-08-07,xG_for,0.83,H,10269,VfB Stuttgart
29,3903551,2022-08-07,xG_ag,1.69,H,10269,VfB Stuttgart
30,3903551,2022-08-07,xG_for,1.69,A,178475,RB Leipzig
31,3903551,2022-08-07,xG_ag,0.83,A,178475,RB Leipzig
32,3903546,2022-08-07,xG_for,4.25,H,8722,1. FC Köln
33,3903546,2022-08-07,xG_ag,0.24,H,8722,1. FC Köln
34,3903546,2022-08-07,xG_for,0.24,A,10189,Schalke 04
35,3903546,2022-08-07,xG_ag,4.25,A,10189,Schalke 04
36,3903555,2022-08-13,xG_for,1.02,H,8358,SC Freiburg
37,3903555,2022-08-13,xG_ag,1.12,H,8358,SC Freiburg
38,3903555,2022-08-13,xG_for,1.12,A,9789,Borussia Dortmund
39,3903555,2022-08-13,xG_ag,1.02,A,9789,Borussia Dortmund
40,3903553,2022-08-13,xG_for,2.57,H,8178,Bayer Leverkusen
41,3903553,2022-08-13,xG_ag,0.44,H,8178,Bayer Leverkusen
42,3903553,2022-08-13,xG_for,0.44,A,8406,FC Augsburg
43,3903553,2022-08-13,xG_ag,2.57,A,8406,FC Augsburg
44,3903558,2022-08-13,xG_for,1.7,H,8177,Hertha BSC
45,3903558,2022-08-13,xG_ag,1.57,H,8177,Hertha BSC
46,3903558,2022-08-13,xG_for,1.57,A,9810,Eintracht Frankfurt
47,3903558,2022-08-13,xG_ag,1.7,A,9810,Eintracht Frankfurt
48,3903554,2022-08-13,xG_for,0.96,H,178475,RB Leipzig
49,3903554,2022-08-13,xG_ag,1.52,H,178475,RB Leipzig
50,3903554,2022-08-13,xG_for,1.52,A,8722,1. FC Köln
51,3903554,2022-08-13,xG_ag,0.96,A,8722,1. FC Köln
52,3903557,2022-08-13,xG_for,2.63,H,8226,TSG Hoffenheim
53,3903557,2022-08-13,xG_ag,1.52,H,8226,TSG Hoffenheim
54,3903557,2022-08-13,xG_for,1.52,A,9911,VfL Bochum
55,3903557,2022-08-13,xG_ag,2.63,A,9911,VfL Bochum
56,3903560,2022-08-13,xG_for,0.52,H,8697,Werder Bremen
57,3903560,2022-08-13,xG_ag,1.44,H,8697,Werder Bremen
58,3903560,2022-08-13,xG_for,1.44,A,10269,VfB Stuttgart
59,3903560,2022-08-13,xG_ag,0.52,A,10269,VfB Stuttgart
60,3903559,2022-08-13,xG_for,1.35,H,10189,Schalke 04
61,3903559,2022-08-13,xG_ag,1.3,H,10189,Schalke 04
62,3903559,2022-08-13,xG_for,1.3,A,9788,Borussia M'Gladbach
63,3903559,2022-08-13,xG_ag,1.35,A,9788,Borussia M'Gladbach
64,3903556,2022-08-14,xG_for,0.67,H,9905,Mainz 05
65,3903556,2022-08-14,xG_ag,0.4,H,9905,Mainz 05
66,3903556,2022-08-14,xG_for,0.4,A,8149,Union Berlin
67,3903556,2022-08-14,xG_ag,0.67,A,8149,Union Berlin
68,3903552,2022-08-14,xG_for,2.16,H,9823,Bayern München
69,3903552,2022-08-14,xG_ag,0.47,H,9823,Bayern München
70,3903552,2022-08-14,xG_for,0.47,A,8721,Wolfsburg
71,3903552,2022-08-14,xG_ag,2.16,A,8721,Wolfsburg
72,3903565,2022-08-20,xG_for,2.82,H,9788,Borussia M'Gladbach
73,3903565,2022-08-20,xG_ag,0.96,H,9788,Borussia M'Gladbach
74,3903565,2022-08-20,xG_for,0.96,A,8177,Hertha BSC
75,3903565,2022-08-20,xG_ag,2.82,A,8177,Hertha BSC
76,3903563,2022-08-20,xG_for,1.2,H,8178,Bayer Leverkusen
77,3903563,2022-08-20,xG_ag,1.51,H,8178,Bayer Leverkusen
78,3903563,2022-08-20,xG_for,1.51,A,8226,TSG Hoffenheim
79,3903563,2022-08-20,xG_ag,1.2,A,8226,TSG Hoffenheim
80,3903562,2022-08-20,xG_for,0.51,H,9789,Borussia Dortmund
81,3903562,2022-08-20,xG_ag,1.31,H,9789,Borussia Dortmund
82,3903562,2022-08-20,xG_for,1.31,A,8697,Werder Bremen
83,3903562,2022-08-20,xG_ag,0.51,A,8697,Werder Bremen
84,3903569,2022-08-20,xG_for,0.5,H,8406,FC Augsburg
85,3903569,2022-08-20,xG_ag,2.11,H,8406,FC Augsburg
86,3903569,2022-08-20,xG_for,2.11,A,9905,Mainz 05
87,3903569,2022-08-20,xG_ag,0.5,A,9905,Mainz 05
88,3903570,2022-08-20,xG_for,0.87,H,10269,VfB Stuttgart
89,3903570,2022-08-20,xG_ag,0.59,H,10269,VfB Stuttgart
90,3903570,2022-08-20,xG_for,0.59,A,8358,SC Freiburg
