,match_id,home_club_id,away_club_id,home_club_name,away_club_name,match_date,home_score,away_score,home_xG,away_xG,potm
0,3900932,9826,9825,Crystal Palace,Arsenal,2022-08-06,0,2,1.21,1.0,Zinchenko
1,3900933,9879,8650,Fulham,Liverpool,2022-08-06,2,2,1.25,1.23,Mitrovic
2,3900934,8678,10252,AFC Bournemouth,Aston Villa,2022-08-06,2,0,0.59,0.66,Kelly
3,3900935,8463,8602,Leeds United,Wolverhampton Wanderers,2022-08-06,2,1,0.8,1.84,Harrison
4,3900937,10261,10203,Newcastle United,Nottingham Forest,2022-08-06,2,0,1.74,0.28,Schär
5,3900938,8586,8466,Tottenham Hotspur,Southampton,2022-08-06,4,1,1.57,0.48,Kulusevski
6,3900939,8668,8455,Everton,Chelsea,2022-08-06,0,1,0.67,1.64,Kanté
7,3900936,8197,9937,Leicester City,Brentford,2022-08-07,2,2,0.62,0.76,Tielemans
8,3900940,10260,10204,Manchester United,Brighton & Hove Albion,2022-08-07,1,2,1.38,1.5,Gross
9,3900941,8654,8456,West Ham United,Manchester City,2022-08-07,0,2,0.49,2.23,Haaland
10,3900943,10252,8668,Aston Villa,Everton,2022-08-13,2,1,2.31,1.58,Watkins
11,3900942,9825,8197,Arsenal,Leicester City,2022-08-13,4,2,2.96,0.46,Jesus
12,3900945,10204,10261,Brighton & Hove Albion,Newcastle United,2022-08-13,0,0,1.5,0.22,Pope
13,3900948,8456,8678,Manchester City,AFC Bournemouth,2022-08-13,4,0,1.75,0.13,De Bruyne
14,3900950,8466,8463,Southampton,Leeds United,2022-08-13,2,2,1.22,1.93,Rodrigo
15,3900951,8602,9879,Wolverhampton Wanderers,Fulham,2022-08-13,0,0,0.89,1.49,Sá
16,3900944,9937,10260,Brentford,Manchester United,2022-08-13,4,0,1.61,0.92,Jensen
17,3900949,10203,8654,Nottingham Forest,West Ham United,2022-08-14,1,0,1.36,2.26,Henderson
18,3900946,8455,8586,Chelsea,Tottenham Hotspur,2022-08-14,2,2,1.58,1.01,Højbjerg
19,3900947,8650,9826,Liverpool,Crystal Palace,2022-08-16,1,1,2.07,1.04,Diaz
20,3900960,8586,8602,Tottenham Hotspur,Wolverhampton Wanderers,2022-08-20,1,0,1.67,0.71,Kane
21,3900953,9826,10252,Crystal Palace,Aston Villa,2022-08-20,3,1,2.69,0.9,Zaha
22,3900954,8668,10203,Everton,Nottingham Forest,2022-08-20,1,1,1.51,0.99,Gray
23,3900955,9879,9937,Fulham,Brentford,2022-08-20,3,2,2.54,1.8,Pereira
24,3900957,8197,8466,Leicester City,Southampton,2022-08-20,1,2,0.29,0.92,Adams
25,3900952,8678,9825,AFC Bournemouth,Arsenal,2022-08-20,0,3,0.28,1.32,Ødegaard
26,3900956,8463,8455,Leeds United,Chelsea,2022-08-21,3,0,2.22,0.88,Harrison
27,3900961,8654,10204,West Ham United,Brighton & Hove Albion,2022-08-21,0,2,0.89,1.71,Allister
28,3900959,10261,8456,Newcastle United,Manchester City,2022-08-21,3,3,1.81,2.11,Saint-Maximin
29,3900958,10260,8650,Manchester United,Liverpool,2022-08-23,2,1,1.79,1.35,Sancho
30,3900970,8466,10260,Southampton,Manchester United,2022-08-27,0,1,1.45,1.4,Dalot
31,3900964,9937,8668,Brentford,Everton,2022-08-27,1,1,2.14,1.07,Tarkowski
32,3900965,10204,8463,Brighton & Hove Albion,Leeds United,2022-08-27,1,0,2.02,1.84,Gross
33,3900966,8455,8197,Chelsea,Leicester City,2022-08-27,2,1,1.75,2.52,Sterling
34,3900967,8650,8678,Liverpool,AFC Bournemouth,2022-08-27,9,0,3.32,0.33,Firmino
35,3900968,8456,9826,Manchester City,Crystal Palace,2022-08-27,4,2,2.42,0.12,Haaland
36,3900962,9825,9879,Arsenal,Fulham,2022-08-27,2,1,2.73,0.83,Ødegaard
37,3900963,10252,8654,Aston Villa,West Ham United,2022-08-28,0,1,0.49,0.56,Fornals
38,3900971,8602,10261,Wolverhampton Wanderers,Newcastle United,2022-08-28,1,1,0.71,1.77,Neves
39,3900969,10203,8586,Nottingham Forest,Tottenham Hotspur,2022-08-28,0,2,0.95,2.4,Kane
40,3900978,9826,9937,Crystal Palace,Brentford,2022-08-31,1,1,0.98,1.43,Doucouré
41,3900974,9879,10204,Fulham,Brighton & Hove Albion,2022-08-31,2,1,0.68,1.42,Allister
42,3900979,8466,8455,Southampton,Chelsea,2022-08-31,2,1,1.1,1.1,Elyounoussi
43,3900975,8463,8668,Leeds United,Everton,2022-08-31,1,1,1.01,1.0,Struijk
44,3900973,8678,8602,AFC Bournemouth,Wolverhampton Wanderers,2022-09-01,0,0,0.42,1.51,Neves
45,3900972,9825,10252,Arsenal,Aston Villa,2022-09-01,2,1,2.56,0.45,Martinelli
46,3900981,8456,10203,Manchester City,Nottingham Forest,2022-09-01,6,0,3.32,0.66,Haaland
47,3900977,8654,8586,West Ham United,Tottenham Hotspur,2022-09-01,1,1,1.24,0.63,Soucek
