match_id,date,variable,value,venue,team_id,team_name,league_name
3602472,2021-08-14,xG_for,0.77,H,6433,Go Ahead Eagles,Eredivisie
3602472,2021-08-14,xG_ag,1.21,H,6433,Go Ahead Eagles,Eredivisie
3602472,2021-08-14,xG_for,1.21,A,10228,SC Heerenveen,Eredivisie
3602472,2021-08-14,xG_ag,0.77,A,10228,SC Heerenveen,Eredivisie
3602473,2021-08-14,xG_for,0.82,H,10219,RKC Waalwijk,Eredivisie
3602473,2021-08-14,xG_ag,1.59,H,10219,RKC Waalwijk,Eredivisie
3602473,2021-08-14,xG_for,1.59,A,10229,AZ Alkmaar,Eredivisie
3602473,2021-08-14,xG_ag,0.82,A,10229,AZ Alkmaar,Eredivisie
3602474,2021-08-14,xG_for,0.33,H,9791,Heracles,Eredivisie
3602474,2021-08-14,xG_ag,1.89,H,9791,Heracles,Eredivisie
3602474,2021-08-14,xG_for,1.89,A,8640,PSV Eindhoven,Eredivisie
3602474,2021-08-14,xG_ag,0.33,A,8640,PSV Eindhoven,Eredivisie
3602475,2021-08-15,xG_for,1.73,H,6422,Fortuna Sittard,Eredivisie
3602475,2021-08-15,xG_ag,1.49,H,6422,Fortuna Sittard,Eredivisie
3602475,2021-08-15,xG_for,1.49,A,8611,FC Twente,Eredivisie
3602475,2021-08-15,xG_ag,1.73,A,8611,FC Twente,Eredivisie
3602476,2021-08-15,xG_for,3.55,H,8593,Ajax,Eredivisie
3602476,2021-08-15,xG_ag,0.51,H,8593,Ajax,Eredivisie
3602476,2021-08-15,xG_for,0.51,A,8464,NEC Nijmegen,Eredivisie
3602476,2021-08-15,xG_ag,3.55,A,8464,NEC Nijmegen,Eredivisie
3602477,2021-08-15,xG_for,0.45,H,7788,Cambuur,Eredivisie
3602477,2021-08-15,xG_ag,1.64,H,7788,Cambuur,Eredivisie
3602477,2021-08-15,xG_for,1.64,A,8674,FC Groningen,Eredivisie
3602477,2021-08-15,xG_ag,0.45,A,8674,FC Groningen,Eredivisie
3602478,2021-08-15,xG_for,1.51,H,6413,PEC Zwolle,Eredivisie
3602478,2021-08-15,xG_ag,1.04,H,6413,PEC Zwolle,Eredivisie
3602478,2021-08-15,xG_for,1.04,A,8277,Vitesse,Eredivisie
3602478,2021-08-15,xG_ag,1.51,A,8277,Vitesse,Eredivisie
3602479,2021-08-15,xG_for,3.45,H,9908,FC Utrecht,Eredivisie
3602479,2021-08-15,xG_ag,0.66,H,9908,FC Utrecht,Eredivisie
3602479,2021-08-15,xG_for,0.66,A,8614,Sparta Rotterdam,Eredivisie
3602479,2021-08-15,xG_ag,3.45,A,8614,Sparta Rotterdam,Eredivisie
3602480,2021-08-15,xG_for,0.82,H,8525,Willem II,Eredivisie
3602480,2021-08-15,xG_ag,2.49,H,8525,Willem II,Eredivisie
3602480,2021-08-15,xG_for,2.49,A,10235,Feyenoord,Eredivisie
3602480,2021-08-15,xG_ag,0.82,A,10235,Feyenoord,Eredivisie
3602481,2021-08-21,xG_for,0.67,H,8464,NEC Nijmegen,Eredivisie
3602481,2021-08-21,xG_ag,1.02,H,8464,NEC Nijmegen,Eredivisie
3602481,2021-08-21,xG_for,1.02,A,6413,PEC Zwolle,Eredivisie
3602481,2021-08-21,xG_ag,0.67,A,6413,PEC Zwolle,Eredivisie
3602482,2021-08-21,xG_for,2.12,H,10228,SC Heerenveen,Eredivisie
3602482,2021-08-21,xG_ag,0.99,H,10228,SC Heerenveen,Eredivisie
3602482,2021-08-21,xG_for,0.99,A,10219,RKC Waalwijk,Eredivisie
3602482,2021-08-21,xG_ag,2.12,A,10219,RKC Waalwijk,Eredivisie
3602483,2021-08-22,xG_for,2.26,H,8640,PSV Eindhoven,Eredivisie
3602483,2021-08-22,xG_ag,0.58,H,8640,PSV Eindhoven,Eredivisie
3602483,2021-08-22,xG_for,0.58,A,7788,Cambuur,Eredivisie
3602483,2021-08-22,xG_ag,2.26,A,7788,Cambuur,Eredivisie
3602484,2021-08-22,xG_for,0.85,H,8614,Sparta Rotterdam,Eredivisie
3602484,2021-08-22,xG_ag,0.55,H,8614,Sparta Rotterdam,Eredivisie
3602484,2021-08-22,xG_for,0.55,A,9791,Heracles,Eredivisie
3602484,2021-08-22,xG_ag,0.85,A,9791,Heracles,Eredivisie
3602485,2021-08-22,xG_for,1.27,H,8674,FC Groningen,Eredivisie
3602485,2021-08-22,xG_ag,0.38,H,8674,FC Groningen,Eredivisie
3602485,2021-08-22,xG_for,0.38,A,9908,FC Utrecht,Eredivisie
3602485,2021-08-22,xG_ag,1.27,A,9908,FC Utrecht,Eredivisie
3602486,2021-08-22,xG_for,0.91,H,8611,FC Twente,Eredivisie
3602486,2021-08-22,xG_ag,1.61,H,8611,FC Twente,Eredivisie
3602486,2021-08-22,xG_for,1.61,A,8593,Ajax,Eredivisie
3602486,2021-08-22,xG_ag,0.91,A,8593,Ajax,Eredivisie
3602487,2021-08-22,xG_for,2.67,H,10235,Feyenoord,Eredivisie
3602487,2021-08-22,xG_ag,0.72,H,10235,Feyenoord,Eredivisie
3602487,2021-08-22,xG_for,0.72,A,6433,Go Ahead Eagles,Eredivisie
