,match_id,date,variable,value,venue,team_id,team_name,league_name
0,3900341,2022-08-06,xG_for,0.45,H,10228,SC Heerenveen,Eredivisie
1,3900341,2022-08-06,xG_ag,0.34,H,10228,SC Heerenveen,Eredivisie
2,3900341,2022-08-06,xG_for,0.34,A,8614,Sparta Rotterdam,Eredivisie
3,3900341,2022-08-06,xG_ag,0.45,A,8614,Sparta Rotterdam,Eredivisie
4,3900342,2022-08-06,xG_for,1.02,H,6422,Fortuna Sittard,Eredivisie
5,3900342,2022-08-06,xG_ag,1.91,H,6422,Fortuna Sittard,Eredivisie
6,3900342,2022-08-06,xG_for,1.91,A,8593,Ajax,Eredivisie
7,3900342,2022-08-06,xG_ag,1.02,A,8593,Ajax,Eredivisie
8,3900343,2022-08-06,xG_for,3.97,H,7788,Cambuur,Eredivisie
9,3900343,2022-08-06,xG_ag,1.25,H,7788,Cambuur,Eredivisie
10,3900343,2022-08-06,xG_for,1.25,A,10218,Excelsior,Eredivisie
11,3900343,2022-08-06,xG_ag,3.97,A,10218,Excelsior,Eredivisie
12,3900344,2022-08-07,xG_for,1.73,H,8640,PSV Eindhoven,Eredivisie
13,3900344,2022-08-07,xG_ag,0.57,H,8640,PSV Eindhoven,Eredivisie
14,3900344,2022-08-07,xG_for,0.57,A,6660,FC Emmen,Eredivisie
15,3900344,2022-08-07,xG_ag,1.73,A,6660,FC Emmen,Eredivisie
16,3900345,2022-08-07,xG_for,1.89,H,10219,RKC Waalwijk,Eredivisie
17,3900345,2022-08-07,xG_ag,2.06,H,10219,RKC Waalwijk,Eredivisie
18,3900345,2022-08-07,xG_for,2.06,A,9908,FC Utrecht,Eredivisie
19,3900345,2022-08-07,xG_ag,1.89,A,9908,FC Utrecht,Eredivisie
20,3900346,2022-08-07,xG_for,1.8,H,8674,FC Groningen,Eredivisie
21,3900346,2022-08-07,xG_ag,1.5,H,8674,FC Groningen,Eredivisie
22,3900346,2022-08-07,xG_for,1.5,A,6601,FC Volendam,Eredivisie
23,3900346,2022-08-07,xG_ag,1.8,A,6601,FC Volendam,Eredivisie
24,3900347,2022-08-07,xG_for,0.58,H,8277,Vitesse,Eredivisie
25,3900347,2022-08-07,xG_ag,2.51,H,8277,Vitesse,Eredivisie
26,3900347,2022-08-07,xG_for,2.51,A,10235,Feyenoord,Eredivisie
27,3900347,2022-08-07,xG_ag,0.58,A,10235,Feyenoord,Eredivisie
