,match_id,date,variable,value,venue,team_id,team_name,league_name,round
100,3937385,2022-08-28,xG_for,0.1,H,8613,Boavista,Liga Portugal,4
103,3937385,2022-08-28,xG_ag,0.1,A,9772,Benfica,Liga Portugal,4
21,3937365,2022-08-14,xG_ag,0.12,H,9768,Sporting CP,Liga Portugal,2
22,3937365,2022-08-14,xG_for,0.12,A,7841,Rio Ave,Liga Portugal,2
16,3937364,2022-08-15,xG_for,0.16,H,4531,Vizela,Liga Portugal,2
19,3937364,2022-08-15,xG_ag,0.16,A,9773,FC Porto,Liga Portugal,2
285,3937431,2022-09-19,xG_ag,0.16,H,9772,Benfica,Liga Portugal,7
286,3937431,2022-09-19,xG_for,0.16,A,10212,Maritimo,Liga Portugal,7
44,3937371,2022-08-14,xG_for,0.21,H,212821,Casa Pia AC,Liga Portugal,2
47,3937371,2022-08-14,xG_ag,0.21,A,9772,Benfica,Liga Portugal,2
68,3937377,2022-08-06,xG_for,0.22,H,7841,Rio Ave,Liga Portugal,1
71,3937377,2022-08-06,xG_ag,0.22,A,4531,Vizela,Liga Portugal,1
241,3937420,2022-09-04,xG_ag,0.23,H,212821,Casa Pia AC,Liga Portugal,5
242,3937420,2022-09-04,xG_for,0.23,A,158085,Arouca,Liga Portugal,5
184,3937406,2022-10-02,xG_for,0.25,H,7844,Vitoria de Guimaraes,Liga Portugal,8
187,3937406,2022-10-02,xG_ag,0.25,A,9772,Benfica,Liga Portugal,8
0,3937360,2022-08-07,xG_for,0.26,H,1567,Santa Clara,Liga Portugal,1
3,3937360,2022-08-07,xG_ag,0.26,A,212821,Casa Pia AC,Liga Portugal,1
157,3937399,2022-10-02,xG_ag,0.26,H,7841,Rio Ave,Liga Portugal,8
158,3937399,2022-10-02,xG_for,0.26,A,1567,Santa Clara,Liga Portugal,8
236,3937419,2022-09-10,xG_for,0.27,H,1634,Famalicao,Liga Portugal,6
239,3937419,2022-09-10,xG_ag,0.27,A,9772,Benfica,Liga Portugal,6
33,3937368,2022-08-22,xG_ag,0.28,H,10264,Braga,Liga Portugal,3
34,3937368,2022-08-22,xG_for,0.28,A,10212,Maritimo,Liga Portugal,3
201,3937410,2022-10-10,xG_ag,0.3,H,10264,Braga,Liga Portugal,9
202,3937410,2022-10-10,xG_for,0.3,A,9774,Chaves,Liga Portugal,9
156,3937399,2022-10-02,xG_for,0.31,H,7841,Rio Ave,Liga Portugal,8
159,3937399,2022-10-02,xG_ag,0.31,A,1567,Santa Clara,Liga Portugal,8
240,3937420,2022-09-04,xG_for,0.32,H,212821,Casa Pia AC,Liga Portugal,5
243,3937420,2022-09-04,xG_ag,0.32,A,158085,Arouca,Liga Portugal,5
165,3937401,2022-10-03,xG_ag,0.36,H,1634,Famalicao,Liga Portugal,8
166,3937401,2022-10-03,xG_for,0.36,A,8613,Boavista,Liga Portugal,8
73,3937378,2022-08-06,xG_ag,0.37,H,9772,Benfica,Liga Portugal,1
74,3937378,2022-08-06,xG_for,0.37,A,158085,Arouca,Liga Portugal,1
301,3937435,2022-09-13,xG_ag,0.37,H,4531,Vizela,Liga Portugal,6
302,3937435,2022-09-13,xG_for,0.37,A,7842,Estoril,Liga Portugal,6
185,3937406,2022-10-02,xG_ag,0.39,H,7844,Vitoria de Guimaraes,Liga Portugal,8
186,3937406,2022-10-02,xG_for,0.39,A,9772,Benfica,Liga Portugal,8
89,3937382,2022-08-14,xG_ag,0.4,H,8613,Boavista,Liga Portugal,2
90,3937382,2022-08-14,xG_for,0.4,A,1567,Santa Clara,Liga Portugal,2
149,3937397,2022-10-01,xG_ag,0.4,H,9773,FC Porto,Liga Portugal,8
150,3937397,2022-10-01,xG_for,0.4,A,10264,Braga,Liga Portugal,8
152,3937398,2022-10-03,xG_for,0.42,H,6403,Pacos de Ferreira,Liga Portugal,8
155,3937398,2022-10-03,xG_ag,0.42,A,158085,Arouca,Liga Portugal,8
297,3937434,2022-09-11,xG_ag,0.43,H,9768,Sporting CP,Liga Portugal,6
298,3937434,2022-09-11,xG_for,0.43,A,9765,Portimonense,Liga Portugal,6
173,3937403,2022-09-17,xG_ag,0.47,H,1567,Santa Clara,Liga Portugal,7
174,3937403,2022-09-17,xG_for,0.47,A,6403,Pacos de Ferreira,Liga Portugal,7
169,3937402,2022-09-19,xG_ag,0.49,H,212821,Casa Pia AC,Liga Portugal,7
170,3937402,2022-09-19,xG_for,0.49,A,1634,Famalicao,Liga Portugal,7
305,3937436,2022-09-11,xG_ag,0.49,H,9773,FC Porto,Liga Portugal,6
306,3937436,2022-09-11,xG_for,0.49,A,9774,Chaves,Liga Portugal,6
457,3937474,2022-10-10,xG_ag,0.49,H,212821,Casa Pia AC,Liga Portugal,9
458,3937474,2022-10-10,xG_for,0.49,A,4531,Vizela,Liga Portugal,9
48,3937372,2022-08-16,xG_for,0.52,H,6403,Pacos de Ferreira,Liga Portugal,2
51,3937372,2022-08-16,xG_ag,0.52,A,9765,Portimonense,Liga Portugal,2
13,3937363,2022-08-15,xG_ag,0.53,H,7844,Vitoria de Guimaraes,Liga Portugal,2
14,3937363,2022-08-15,xG_for,0.53,A,7842,Estoril,Liga Portugal,2
205,3937411,2022-10-09,xG_ag,0.55,H,6403,Pacos de Ferreira,Liga Portugal,9
206,3937411,2022-10-09,xG_for,0.55,A,7844,Vitoria de Guimaraes,Liga Portugal,9
137,3937394,2022-08-23,xG_ag,0.61,H,9764,Gil Vicente,Liga Portugal,3
138,3937394,2022-08-23,xG_for,0.61,A,1634,Famalicao,Liga Portugal,3
265,3937426,2022-09-03,xG_ag,0.61,H,9772,Benfica,Liga Portugal,5
266,3937426,2022-09-03,xG_for,0.61,A,4531,Vizela,Liga Portugal,5
233,3937418,2022-09-17,xG_ag,0.64,H,9764,Gil Vicente,Liga Portugal,7
