,match_id,date,variable,value,venue,team_id,team_name
0,3625826,2021-08-08,xG_for,1.05,H,9827,Bordeaux
1,3625826,2021-08-08,xG_ag,3.51,H,9827,Bordeaux
2,3625826,2021-08-08,xG_for,3.51,A,8311,Clermont Foot
3,3625826,2021-08-08,xG_ag,1.05,A,8311,Clermont Foot
4,3625827,2021-08-07,xG_for,1.75,H,9748,Lyon
5,3625827,2021-08-07,xG_ag,0.98,H,9748,Lyon
6,3625827,2021-08-07,xG_for,0.98,A,8521,Brest
7,3625827,2021-08-07,xG_ag,1.75,A,8521,Brest
8,3625828,2021-08-08,xG_for,1.25,H,8550,Metz
9,3625828,2021-08-08,xG_ag,1.37,H,8550,Metz
10,3625828,2021-08-08,xG_for,1.37,A,8639,Lille
11,3625828,2021-08-08,xG_ag,1.25,A,8639,Lille
12,3625829,2021-08-07,xG_for,1.89,H,9829,Monaco
13,3625829,2021-08-07,xG_ag,0.35,H,9829,Monaco
14,3625829,2021-08-07,xG_for,0.35,A,9830,Nantes
15,3625829,2021-08-07,xG_ag,1.89,A,9830,Nantes
16,3625830,2021-08-09,xG_for,0.62,H,10249,Montpellier
17,3625830,2021-08-09,xG_ag,2.37,H,10249,Montpellier
18,3625830,2021-08-09,xG_for,2.37,A,8592,Marseille
19,3625830,2021-08-09,xG_ag,0.62,A,8592,Marseille
20,3625831,2021-08-08,xG_for,1.07,H,9831,Nice
21,3625831,2021-08-08,xG_ag,0.18,H,9831,Nice
22,3625831,2021-08-08,xG_for,0.18,A,9837,Reims
23,3625831,2021-08-08,xG_ag,1.07,A,9837,Reims
24,3625832,2021-08-08,xG_for,1.01,H,9851,Rennes
25,3625832,2021-08-08,xG_ag,1.91,H,9851,Rennes
26,3625832,2021-08-08,xG_for,1.91,A,8588,Lens
27,3625832,2021-08-08,xG_ag,1.01,A,8588,Lens
28,3625833,2021-08-08,xG_for,2.07,H,9853,Saint-Etienne
29,3625833,2021-08-08,xG_ag,0.82,H,9853,Saint-Etienne
30,3625833,2021-08-08,xG_for,0.82,A,8689,Lorient
31,3625833,2021-08-08,xG_ag,2.07,A,8689,Lorient
32,3625834,2021-08-08,xG_for,0.71,H,9848,Strasbourg
33,3625834,2021-08-08,xG_ag,1.07,H,9848,Strasbourg
34,3625834,2021-08-08,xG_for,1.07,A,8121,Angers
35,3625834,2021-08-08,xG_ag,0.71,A,8121,Angers
36,3625835,2021-08-08,xG_for,0.84,H,10242,Troyes
37,3625835,2021-08-08,xG_ag,1.36,H,10242,Troyes
38,3625835,2021-08-08,xG_for,1.36,A,9847,Paris Saint-Germain
39,3625835,2021-08-08,xG_ag,0.84,A,9847,Paris Saint-Germain
40,3625836,2021-08-15,xG_for,2.16,H,8121,Angers
