,name,count
740,Julia Ann,62
1048,Nicole Aniston,61
113,Ava Addams,60
1154,Sara Jay,55
195,Bridgette B.,50
1091,Phoenix Marie,49
179,Brandi Love,48
1112,Reagan Foxx,46
1130,Romi Rain,40
63,Ariella Ferrera,38
1236,Tasha Reign,36
826,Kendra Lust,33
1118,Richelle Ryan,33
751,Kagney Linn Karter,32
880,Krissy Lynn,32
1023,Monique Alexander,30
1105,Rachel Starr,30
284,Chanel Preston,29
1104,Rachel Roxxx,29
224,Brooklyn Chase,28
691,Jessica Jaymes,27
647,Jayden Jaymes,26
302,Cherie DeVille,25
413,Diamond Foxxx,25
930,Lisa Ann,25
265,Casca Akashova,24
941,London River,24
953,Luna Star,24
1159,Sarah Vandella,23
1233,Tanya Tate,23
1007,Mia Malkova,22
1040,Natasha Nice,22
1061,Nina Elle,22
11,Alexis Fawx,21
375,Dani Daniels,21
1054,Nikki Benz,21
98,Audrey Bitoni,20
1302,Yurizan Beltran,20
478,Eva Notty,19
940,London Keyes,19
962,Madison Ivy,19
1157,Sarah Jessie,19
1274,Vanessa Cage,19
35,Anissa Kate,18
71,Ashley Adams,18
838,Kenzie Taylor,18
373,Dana DeArmond,17
793,Katrina Jade,17
1036,Natalia Starr,17
0,Abella Danger,16
593,Isis Love,16
990,McKenzie Lee,16
1136,Ryan Keely,16
308,Chloe Amour,15
394,Dee Williams,15
416,Diana Prince,15
677,Jennifer White,15
1102,Rachael Cavalli,15
106,August Ames,14
815,Keisha Grey,14
897,Lauren Phillips,14
1004,Mercedes Carrera,14
1109,Raylene,14
4,Aidra Fox,13
471,Esperanza Gomez,13
473,Eva Angelina,13
914,Lexi Luna,13
1064,Noelle Easton,13
1194,Siri Dahl,13
1,Abigail Mac,12
222,Brooke Wylde,12
350,Cory Chase,12
418,Dillion Harper,12
883,Kylie Page,12
929,Linzee Ryder,12
1016,Missy Martinez,12
1225,Summer Brielle,12
5,Alanah Rae,11
196,Britney Amber,11
414,Diamond Kitty,11
441,Ella Knox,11
682,Jessa Rhodes,11
764,Karlee Grey,11
768,Karma Rx,11
803,Kayla Paige,11
1000,Mellanie Monroe,11
1271,Valentina Nappi,11
52,April O'Neil,10
572,Holly Halston,10
573,Holly Michaels,10
801,Kayla Kayden,10
1063,Nina North,10
1069,Olivia Austin,10
1097,Priya Anjali Rai,10
1293,Violet Starr,10
14,Alison Tyler,9
16,Alyssa Lynn,9
191,Briana Banks,9
270,Cassidy Banks,9
404,Destiny Dixon,9
784,Katie Kox,9
787,Katie Morgan,9
866,Kimmy Granger,9
927,Lily Love,9
1189,Sienna West,9
1203,Sofi Ryan,9
1208,Sophia Leone,9
23,Angela White,8
135,Becky Bandini,8
890,Lana Rhoades,8
1058,Nikki Sexx,8
1080,Payton Preslee,8
1111,Rayveness,8
1212,Sophie Dee,8
1247,Tia Cyrus,8
1287,Victoria June,8
12,Alexis Ford,7
15,Alix Lynx,7
39,Anna Bell Peaks,7
166,Blake Blossom,7
189,Brett Rossi,7
292,Charli Phoenix,7
325,Christie Stevens,7
358,Crystal Rush,7
613,Jaclyn Taylor,7
670,Jenna Presley,7
707,Jessie Rogers,7
809,Kayley Gunner,7
917,Lilian Stone,7
954,Lylith LaVey,7
1087,Peta Jensen,7
1099,Puma Swede,7
1101,Quinn Wilde,7
1182,Shay Sights,7
107,August Taylor,6
390,Dayna Vendetta,6
449,Emily Addison,6
519,Gianna Dior,6
612,Jacky Joy,6
836,Kenzie Madison,6
1041,Natasha Starr,6
1135,Ryan Conner,6
1210,Sophia Lomeli,6
1267,Tyler Faith,6
164,Blair Williams,5
204,Brittany Andrews,5
231,Bunny Colby,5
349,Corinna Blake,5
636,Jasmine Caro,5
639,Jasmine Wilde,5
699,Jessica Robbin,5
898,Layla London,5
908,Lena Paul,5
915,Lexi Swallow,5
926,Lily Lane,5
1113,Rebeca Linares,5
1198,Skylar Snow,5
1207,Sophia Deluxe,5
17,Alyx Star,4
80,Ashly Anderson,4
143,Bella Rolland,4
505,Gabriela Lopez,4
596,Ivy LeBelle,4
608,Jackie Hoff,4
798,Kay Lovely,4
822,Kendall Kayden,4
834,Kenzie Anne,4
1020,Molly Jane,4
1067,Octavia Red,4
1072,Paige Owens,4
1082,Penelope Kay,4
1162,Savannah Bond,4
1187,Shyla Stylez,4
1196,Skyla Novea,4
1199,Skylar Vox,4
1200,Slimthick Vic,4
2,Addison Lee,3
6,Alektra Blue,3
8,Aletta Ocean,3
10,Alexia Anders,3
18,Amia Miley,3
19,Angel Youngs,3
40,Annabel Redd,3
53,April Olsen,3
66,Armani Black,3
141,Bella Reese,3
188,Brenna Sparks,3
213,Brooke Beretta,3
237,Callie Black,3
295,Charlotte Cross,3
417,Dillion Carter,3
477,Eva Lovia,3
503,Gabbie Carter,3
503,Abbey Brooks,3
503,Sara Stone,3
531,Gracie Gates,3
538,Hadley Mason,3
557,Havana Bleu,3
627,Jamie Valentine,3
688,Jessica Bangkok,3
769,Karmen Karma,3
829,Kendra Spade,3
873,Kit Mercer,3
907,Lela Star,3
979,Marina Visconti,3
983,Marsha May,3
1032,Nala Brooks,3
1201,Sloan Harper,3
1219,Stella Cox,3
1272,Valerie Kay,3
1284,Veruca James,3
1308,Zoey Sinn,3
13,Alexis Zara,2
82,Ashlyn Peaks,2
112,Autumn Falls,2
169,Blake Rose,2
232,Bunny Madison,2
260,Carolina Cortez,2
273,Cassie Del Isla,2
317,Chloe Surreal,2
443,Ella Reese,2
515,Gia Milana,2
800,Kayla Green,2
812,Keely Rose,2
835,Kenzie Love,2
920,Lilly Hall,2
938,Lolly Dames,2
952,Luna Mills,2
960,Madi Laine,2
964,Madison Morgan,2
1003,Melody Marks,2
1017,MJ Fresh,2
1022,Mona Azar,2
1096,Pristine Edge,2
1100,Quinn Waters,2
1121,Riley Reign,2
1131,Rose Monroe,2
1188,Sienna Day,2
1195,Skye Blue,2
1292,Violet Myers,2
7,Alena Croft,1
9,Alexa Vega,1
193,Brianna Rose,1
234,Caitlin Bell,1
235,Cali Carter,1
255,Carmela Clutch,1
256,Carmella Bing,1
333,Claire Dames,1
403,Desiree Nevada,1
497,Fiji Falzz,1
507,Gaby Ortega,1
520,Gianna Grey,1
521,Gianna Michaels,1
528,Giselle Palmer,1
561,Hazel Moore,1
587,Indica Monroe,1
653,Jazlyn Ray,1
658,JC Wilds,1
673,Jenna Starr,1
777,Kate Dee,1
786,Katie Monroe,1
845,Kiara Mia,1
850,Kiki Klout,1
871,Kira Perez,1
875,Kitten Latenight,1
894,LaSirena69,1
904,Leana Lovings,1
955,Macey Jade,1
958,Maddy May,1
963,Madison Lust,1
1001,Melody Foxx,1
1132,Roxie Sinner,1
1173,Serena Santos,1
1180,Shay Evans,1
1215,Stacey Saran,1
1231,Tana Lea,1
1263,Trina Michaels,1
1270,Valentina Jewels,1
