,id,title,performer,release_date,url,img_url,preview_url
0,4494651,GrandPervs 1,"Rita Daniels,","Oct 26, 2022",https://www.brazzers.com/video/4494651/grand-pervs-1,https://media-public-ht.project1content.com/m=eyzaevFb/2b0/a6e/1bb/094/471/9b1/343/9e7/ea0/378/7f/poster/poster_01.jpg,https://prog-public-ht.project1content.com/2b0/a6e/1bb/094/471/9b1/343/9e7/ea0/378/7f/mediabook/mediabook_320p.mp4
1,8226721,"Hot and Oiled Up, Ready to Fuck","Skylar Snow,","Oct 26, 2022",https://www.brazzers.com/video/8226721/hot-and-oiled-up-ready-to-fuck,https://media-public-ht.project1content.com/m=eyzaevFb/65b/309/578/62b/4ca/e82/268/0e4/b0e/0c2/9f/poster/poster_01.jpg,https://prog-public-ht.project1content.com/65b/309/578/62b/4ca/e82/268/0e4/b0e/0c2/9f/mediabook/mediabook_320p.mp4
2,8226501,Pussy Locked And Dick Loaded,"Valentina Nappi,","Oct 25, 2022",https://www.brazzers.com/video/8226501/pussy-locked-and-dick-loaded,https://media-public-ht.project1content.com/m=eyzaevFb/57a/9b6/3de/944/435/db2/27d/442/5c9/09a/89/poster/poster_01.jpg,https://prog-public-ht.project1content.com/57a/9b6/3de/944/435/db2/27d/442/5c9/09a/89/mediabook/mediabook_320p.mp4
3,8230341,Fanfriction: Part 2,"Angela White,","Oct 25, 2022",https://www.brazzers.com/video/8230341/fanfriction-part-2,https://media-public-ht.project1content.com/m=eyzaevFb/892/dd3/f03/13c/4e6/3af/db3/346/ff8/6c7/6c/poster/poster_01.jpg,https://prog-public-ht.project1content.com/892/dd3/f03/13c/4e6/3af/db3/346/ff8/6c7/6c/mediabook/mediabook_320p.mp4
4,8225521,Follow Me For A Fuck,"Alexis Fawx,","Oct 24, 2022",https://www.brazzers.com/video/8225521/follow-me-for-a-fuck,https://media-public-ht.project1content.com/m=eyzaevFb/67a/d44/f11/8b9/437/ca4/9d9/a78/d19/2ca/2f/poster/poster_01.jpg,https://prog-public-ht.project1content.com/67a/d44/f11/8b9/437/ca4/9d9/a78/d19/2ca/2f/mediabook/mediabook_320p.mp4
5,8230201,My Bro’s Ho Gots Nice Toes,"Kenna James,","Oct 24, 2022",https://www.brazzers.com/video/8230201/my-bros-ho-gots-nice-toes,https://media-public-ht.project1content.com/m=eyzaevFb/3d3/db3/b5b/722/440/895/ea0/007/592/a8f/5a/poster/poster_01.jpg,https://prog-public-ht.project1content.com/3d3/db3/b5b/722/440/895/ea0/007/592/a8f/5a/mediabook/mediabook_320p.mp4
6,8221261,"Hot MILF, Party Crasher","Charli Phoenix,","Oct 23, 2022",https://www.brazzers.com/video/8221261/hot-milf-party-crasher,https://media-public-ht.project1content.com/m=eyzaevFb/90e/096/f14/e10/4de/299/a23/137/c80/485/4f/poster/poster_01.jpg,https://prog-public-ht.project1content.com/90e/096/f14/e10/4de/299/a23/137/c80/485/4f/mediabook/mediabook_320p.mp4
7,8226791,Fucking Her Office Rival,"Zara DuRose,","Oct 22, 2022",https://www.brazzers.com/video/8226791/fucking-her-office-rival,https://media-public-ht.project1content.com/m=eyzaevFb/d29/edd/5a3/aa4/4ee/58b/110/fdc/1fa/977/d1/poster/poster_01.jpg,https://prog-public-ht.project1content.com/d29/edd/5a3/aa4/4ee/58b/110/fdc/1fa/977/d1/mediabook/mediabook_320p.mp4
8,8216611,Freeuse Yoga And Shower Fuck,"Cherie Deville,","Oct 21, 2022",https://www.brazzers.com/video/8216611/freeuse-yoga-and-shower-fuck,https://media-public-ht.project1content.com/m=eyzaevFb/442/8fc/a3b/ad9/475/ab7/b51/ef4/289/7ab/b2/poster/poster_01.jpg,
9,8218491,Jennifer Gets Wet,"Jennifer White,","Oct 21, 2022",https://www.brazzers.com/video/8218491/jennifer-gets-wet,https://media-public-ht.project1content.com/m=eyzaevFb/d5c/604/c2f/2b6/40c/6a4/cc7/929/ade/8cc/e3/poster/poster_01.jpg,
